Line,Mag,x,y
L10160,56816.5165315395,582923.9,6858254
L10160,56810.0996329106,582923.4,6858288
L10160,56804.8827199766,582922.9,6858322.5
L10160,56800.7658070425,582922.4,6858357
L10160,56797.5479356658,582921.9,6858391.5
L10160,56795.3500642891,582921.4,6858426
L10160,56794.1121929123,582920.9,6858461
L10160,56793.4043215356,582920.4,6858495.5
L10160,56792.9164501589,582919.9,6858529.5
L10160,56792.4785787821,582919.4,6858564
L10160,56792.6697489627,582918.9,6858598.5
L10160,56793.2009334484,582918.4,6858633
L10160,56793.4021179341,582917.9,6858668
L10160,56793.5932881147,582917.4,6858702.5
L10160,56794.9344726004,582916.1,6858737
L10160,56798.0156570861,582916.4,6858772
L10160,56803.3558831291,582915.9,6858806.5
L10160,56810.6661091721,582916.1,6858841
L10160,56820.3263352151,582915.6,6858875.5
L10160,56832.3465612581,582915.9,6858910.5
L10160,56845.5767873012,582916.1,6858946
L10160,56859.4170133442,582915.6,6858980.5
L10160,56875.0362380291,582914.4,6859015
L10160,56892.6554627141,582914.6,6859049
L10160,56908.2346873991,582914.8,6859082.5
L10160,56917.0939120841,582915.1,6859117
L10160,56918.9331367691,582915.3,6859151.5
L10160,56917.712361454,582916.3,6859185.5
L10160,56917.5005275605,582918,6859220
L10160,56919.708693667,582918.2,6859254
L10160,56923.7668740786,582918.5,6859288.5
L10160,56928.4350401851,582918,6859322.5
L10160,56932.2032062916,582917.5,6859356.5
L10160,56933.7613867032,582917.8,6859390.5
L10160,56932.4585228414,582918,6859424.5
L10160,56928.6456589796,582918.2,6859459
L10160,56923.3927951179,582918.4,6859493.5
L10160,56918.0799455612,582918.7,6859528
L10160,56914.2470816994,582918.9,6859562
L10160,56912.6542178376,582919.9,6859596.5
L10160,56912.9305099741,582920.9,6859631
L10160,56914.4668021106,582921.2,6859665
L10160,56916.353094247,582921.4,6859698.5
L10160,56918.2193720783,582921.6,6859733
L10160,56920.0056642148,582921.9,6859767
L10160,56921.4819563513,582922.1,6859801.5
L10160,56922.8777048934,582922.4,6859836
L10160,56924.2334391303,582922.6,6859870
L10160,56926.2191733673,582922.9,6859904.5
L10160,56928.7249219094,582923.1,6859939
L10160,56931.2006561464,582923.3,6859973.5
L10160,56933.1963903834,582923.6,6860007.5
L10160,56934.6819958743,582923.8,6860042
L10160,56935.1575870602,582924.1,6860076
L10160,56934.793178246,582924.3,6860109.5
L10160,56934.0087694318,582924.5,6860144
L10160,56933.1743606176,582924.8,6860178.5
L10160,56931.7799518035,582924.2,6860212.5
L10160,56930.1458577018,582923.8,6860247
L10160,56928.8817636002,582924,6860281.5
L10160,56928.8276551934,582924.2,6860315.5
L10160,56930.0135610918,582925.2,6860349.5
L10160,56931.2694669902,582926.2,6860383
L10160,56931.5853585834,582926.4,6860417.5
L10160,56931.9820941784,582926.7,6860452
L10160,56933.2388297734,582926.9,6860486
L10160,56934.9855510633,582927.2,6860519.5
L10160,56935.9522866583,582927.4,6860554
L10160,56934.8890222533,582928.4,6860588
L10160,56931.0757435432,582928.6,6860622.5
L10160,56923.2438095139,582928.1,6860656.5
L10160,56912.4418897897,582927.6,6860691
L10160,56902.0299557604,582927.1,6860725.5
L10160,56894.8180217311,582927.4,6860760
L10160,56891.4460877018,582927.6,6860794.5
L10160,56890.3841536725,582927.9,6860828.5
L10160,56889.3539648671,582928.1,6860863
L10160,56886.6837760618,582928.3,6860897
L10160,56882.0335872565,582927.8,6860930.5
L10160,56876.4133984512,582928.1,6860965
L10160,56871.7832096459,582927.6,6860999
L10160,56868.7930208405,582927.8,6861034
L10160,56866.9748776666,582928.1,6861069
L10160,56865.9667344927,582927.6,6861103
L10160,56866.4285913188,582926.2,6861137
L10160,56868.6104481449,582925.8,6861171
L10160,56872.442304971,582924.5,6861205.5
L10160,56877.4041617971,582924.8,6861239.5
L10160,56883.0882073057,582924.2,6861274
L10160,56888.1322528144,582924.5,6861308.5
L10160,56890.726298323,582924,6861342.5
L10160,56890.0603295266,582923.5,6861377
L10160,56886.9443750352,582923,6861411.5
L10160,56882.5084205439,582923.2,6861445.5
L10160,56878.0046261248,582922.7,6861479
L10160,56873.6808317058,582922.9,6861513.5
L10160,56869.0670372868,582922.4,6861547.5
L10160,56863.7032428678,582921.9,6861582
L10160,56857.8094627538,582921.4,6861616.5
L10160,56851.7956683348,582921.7,6861651
L10160,56846.5938623267,582921.9,6861685
L10160,56842.8020563187,582922.1,6861719.5
L10160,56841.0002646157,582922.4,6861754
L10160,56840.9984586076,582922.6,6861788
L10160,56842.4566525995,582922.1,6861822.5
L10160,56844.9748608966,582922.4,6861856.5
L10160,56847.8647142818,582921.9,6861890
L10160,56850.1945819722,582922.1,6861924.5
L10160,56851.7244353574,582921.6,6861959
L10160,56852.4843030478,582921.1,6861993
L10160,56852.6041707381,582920.6,6862027.5
L10160,56851.0540241233,582920.8,6862062
L10160,56846.0050791382,582921.1,6862096
L10160,56835.2061484582,582921.3,6862130
L10160,56815.6172034731,582921.6,6862164
L10160,56783.1082584879,582922.5,6862198.5
L10160,56736.7393135028,582923.5,6862233.5
L10160,56680.9703685177,582923,6862268
L10160,56628.441981432,582922.5,6862302
L10160,56599.5036086515,582922.8,6862336.5
L10160,56619.7652215659,582923,6862371
L10160,56705.4968487853,582923.2,6862404.5
L10160,56837.5284616997,582922.8,6862438.5
L10160,56972.350074614,582922.9,6862473
L10160,57085.1715301721,582922.4,6862507
L10160,57172.8229714251,582922.7,6862541.5
L10160,57226.1144269832,582922.9,6862576
L10160,57230.9758682361,582922.4,6862610
L10160,57176.9073237942,582921.9,6862644.5
L10160,57041.1887650472,582922.2,6862679
L10160,56820.3792621626,582921.7,6862713.5
L10160,56614.409759278,582921.9,6862747.5
L10160,56554.2202563934,582921.4,6862782
